27/06/2022 13:24:51.83 [Information] -------------------------------
27/06/2022 13:24:51.85 [Information] *** Begin Prepare ''!
27/06/2022 13:24:51.85 [Information] *** Begin prepare project '1304915_BR V1.8.0'!
27/06/2022 13:24:51.91 [Information] *** Start preparation of '1304915_BR' path ''
27/06/2022 13:24:52.58 [Information] ° Add option GripperSpotTech (5.0.3.51 ) to project C:\KRC\User\ProjectRoot\1304915_BR\1304915_BR.wvs
27/06/2022 13:24:52.82 [Information] Instruction 'Reinstall' for Option 'GripperSpotTech V5.0.3.51', has errors = False
27/06/2022 13:24:52.93 [Information] Adding option 'GripperSpotTech (V5.0.3.51)'
27/06/2022 13:24:52.96 [Information] [GripperSpotTech]	Adding external file 'Option\ExternalFiles\KRC\R1\TP\GripperSpotTech\Grp_Func.dat'
27/06/2022 13:24:53.01 [Information] [GripperSpotTech]	Adding external file 'Option\ExternalFiles\KRC\R1\TP\GripperSpotTech\Grp_Func.src'
27/06/2022 13:24:53.02 [Information] [GripperSpotTech]	Adding external file 'Option\ExternalFiles\KRC\R1\TP\GripperSpotTech\Grp_Signal.dat'
27/06/2022 13:24:53.05 [Information] [GripperSpotTech]	Adding external file 'Option\ExternalFiles\KRC\R1\TP\GripperSpotTech\Grp_sps.sub'
27/06/2022 13:24:53.07 [Information] [GripperSpotTech]	Adding external file 'Option\ExternalFiles\KRC\R1\TP\GripperSpotTech\Grp_Data.dat'
27/06/2022 13:24:53.08 [Information] [GripperSpotTech]	Adding external file 'Option\ExternalFiles\KRC\R1\TP\GripperSpotTech\Grp_User.dat'
27/06/2022 13:24:53.10 [Information] [GripperSpotTech]	Adding external file 'Option\ExternalFiles\KRC\R1\TP\GripperSpotTech\Grp_User.src'
27/06/2022 13:24:53.11 [Information] [GripperSpotTech]	Adding external file 'Option\ExternalFiles\KRC\R1\TP\GripperSpotTech\Spot_Data.dat'
27/06/2022 13:24:53.13 [Information] [GripperSpotTech]	Adding external file 'Option\ExternalFiles\KRC\R1\TP\GripperSpotTech\Spot_User.dat'
27/06/2022 13:24:53.15 [Information] [GripperSpotTech]	Adding external file 'Option\ExternalFiles\KRC\R1\TP\GripperSpotTech\Spot_User.src'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'KRC:\Steu\Mada\$custom.dat'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Mada\$machine.dat'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Mada\$robcor.dat'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KRC_IO.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KrcIoSignals.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\TransferApp_IO.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ecatms_sys_X44_usr_config.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ecatms_sys_X44_swap.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ECat_SYS_X44.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ecatms_config.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\KRCAxes.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Motor\M_SI-M1100-KM126-W0_KSP600-20_380V_V1.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_SI-M1100-KM126-W0_KSP600-20_380V_V1.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA1.xml'
